issue_id	comment_created_at	comment_by
35486029	53201833	2014-08-24 18:12:13	53201833
35486029	53201910	2014-08-24 18:15:10	53201910
35301183	45544317	2014-06-09 21:07:04	45544317
35301183	45604824	2014-06-10 12:05:09	45604824
35301183	45622999	2014-06-10 14:46:33	45622999
35301183	45632138	2014-06-10 15:48:20	45632138
35301183	45690393	2014-06-11 00:52:09	45690393
35103153	45290240	2014-06-06 00:08:18	45290240
35103153	45411566	2014-06-07 14:36:24	45411566
34818471	44906467	2014-06-03 00:11:47	44906467
34818471	45434339	2014-06-08 11:16:06	45434339
34818471	45437390	2014-06-08 13:57:49	45437390
34818471	45444635	2014-06-08 18:39:52	45444635
34818471	45446341	2014-06-08 19:43:26	45446341
34818471	45477213	2014-06-09 10:11:38	45477213
34818471	45496718	2014-06-09 14:31:43	45496718
34818471	55205449	2014-09-11 00:49:40	55205449
34818209	44906339	2014-06-03 00:09:54	44906339
34818209	55994050	2014-09-18 04:34:40	55994050
34818209	55994261	2014-09-18 04:38:41	55994261
34818209	55994852	2014-09-18 04:53:26	55994852
34818209	55996234	2014-09-18 05:23:48	55996234
34759120	44859657	2014-06-02 16:29:49	44859657
34759120	62311820	2014-11-09 17:41:45	62311820
34759120	62313522	2014-11-09 18:28:39	62313522
34759120	62321509	2014-11-09 21:52:53	62321509
34759120	68198943	2014-12-28 05:36:16	68198943
34759120	68214442	2014-12-28 18:10:14	68214442
34593297	44586918	2014-05-29 21:22:20	44586918
34593297	44591453	2014-05-29 22:04:16	44591453
34593297	44609306	2014-05-30 02:40:36	44609306
34593297	44675086	2014-05-30 17:10:10	44675086
34593297	44788741	2014-06-01 20:45:03	44788741
34593297	44789415	2014-06-01 21:09:03	44789415
34261940	44139562	2014-05-25 16:49:47	44139562
34122459	43945189	2014-05-22 21:17:21	43945189
34122459	43958939	2014-05-23 00:12:26	43958939
34122459	43966330	2014-05-23 02:45:02	43966330
34120125	66681667	2014-12-11 20:19:29	66681667
34104986	43937347	2014-05-22 20:05:48	43937347
34104986	43940739	2014-05-22 20:36:06	43940739
33875357	43649306	2014-05-20 16:28:39	43649306
33470173	43098216	2014-05-14 15:47:10	43098216
33470173	66611284	2014-12-11 12:19:27	66611284
33470173	66698813	2014-12-11 22:13:08	66698813
33276864	42793887	2014-05-12 03:39:43	42793887
33276864	42822293	2014-05-12 11:46:29	42822293
33276864	42846325	2014-05-12 15:26:02	42846325
33159328	42704279	2014-05-09 19:26:59	42704279
33159328	42738098	2014-05-10 10:18:54	42738098
33159328	42753041	2014-05-10 20:14:48	42753041
32874477	42329382	2014-05-06 17:01:05	42329382
32874477	68783220	2015-01-05 21:18:32	68783220
32557718	41858404	2014-04-30 22:17:53	41858404
32557718	41858598	2014-04-30 22:19:48	41858598
32557718	41896261	2014-05-01 09:50:03	41896261
32557718	41909702	2014-05-01 13:30:07	41909702
32557718	41921880	2014-05-01 15:41:11	41921880
32557718	42184787	2014-05-05 13:00:28	42184787
32557718	42222098	2014-05-05 18:41:18	42222098
32557718	42283334	2014-05-06 09:41:55	42283334
32557718	42303831	2014-05-06 13:48:52	42303831
32557718	42305660	2014-05-06 14:03:56	42305660
32557718	42310122	2014-05-06 14:36:40	42310122
32557718	42312294	2014-05-06 14:51:24	42312294
32557718	68643449	2015-01-04 18:40:32	68643449
32557718	68660000	2015-01-05 01:50:59	68660000
32557031	41838290	2014-04-30 19:21:27	41838290
32557031	41877640	2014-05-01 03:49:32	41877640
32557031	42099447	2014-05-03 08:26:54	42099447
32557031	42178884	2014-05-05 11:31:29	42178884
32557031	42223457	2014-05-05 18:51:42	42223457
32505819	41777615	2014-04-30 09:33:43	41777615
32505819	41820313	2014-04-30 16:49:43	41820313
32505819	42274269	2014-05-06 07:29:46	42274269
32505819	42319529	2014-05-06 15:43:36	42319529
32505819	43696492	2014-05-20 23:33:14	43696492
32488619	41739027	2014-04-29 22:14:48	41739027
32488619	41741185	2014-04-29 22:40:13	41741185
32488619	41750156	2014-04-30 00:57:44	41750156
32488619	45205211	2014-06-05 10:49:46	45205211
32488619	63175289	2014-11-15 15:09:36	63175289
32488619	63186159	2014-11-15 19:48:08	63186159
32488619	66952091	2014-12-15 05:41:14	66952091
32299496	41488043	2014-04-27 04:15:36	41488043
32299496	41509377	2014-04-27 21:14:54	41509377
32299496	53157083	2014-08-23 16:04:37	53157083
32299496	53158101	2014-08-23 16:40:11	53158101
32299496	53158727	2014-08-23 17:00:30	53158727
32299496	53163255	2014-08-23 19:40:30	53163255
32299496	53163276	2014-08-23 19:41:17	53163276
32299496	61016763	2014-10-29 22:32:56	61016763
32299496	61019378	2014-10-29 22:54:28	61019378
32299496	61958560	2014-11-06 10:31:03	61958560
32299496	62012163	2014-11-06 16:57:44	62012163
32299496	62219820	2014-11-07 21:44:18	62219820
32299496	62221392	2014-11-07 21:57:41	62221392
32299496	64936448	2014-11-29 00:35:16	64936448
32299496	64937415	2014-11-29 01:12:30	64937415
32299496	64943723	2014-11-29 06:55:44	64943723
32299496	64954898	2014-11-29 15:18:42	64954898
32299496	64967446	2014-11-29 22:19:23	64967446
32299496	64981608	2014-11-30 10:40:16	64981608
32295183	41478657	2014-04-26 19:43:00	41478657
32295183	41480366	2014-04-26 20:45:58	41480366
32295183	41486924	2014-04-27 02:47:28	41486924
32295183	41487162	2014-04-27 03:07:36	41487162
32295183	41489175	2014-04-27 05:58:18	41489175
32158164	41297118	2014-04-24 15:54:19	41297118
32000830	41088207	2014-04-22 20:00:18	41088207
32000830	41096096	2014-04-22 21:09:49	41096096
32000830	41098484	2014-04-22 21:31:37	41098484
32000830	41102558	2014-04-22 22:13:01	41102558
32000830	41279613	2014-04-24 13:29:46	41279613
32000830	41296853	2014-04-24 15:52:18	41296853
32000830	41378875	2014-04-25 10:28:02	41378875
32000830	41411047	2014-04-25 16:17:51	41411047
32000830	41413654	2014-04-25 16:42:45	41413654
32000830	41415773	2014-04-25 17:03:15	41415773
32000830	41427153	2014-04-25 18:53:05	41427153
32000830	41427770	2014-04-25 18:58:49	41427770
32000830	41594107	2014-04-28 18:20:30	41594107
32000830	41801861	2014-04-30 14:21:31	41801861
32000830	41827608	2014-04-30 17:54:50	41827608
32000830	41833922	2014-04-30 18:46:15	41833922
32000830	41836884	2014-04-30 19:09:22	41836884
32000830	49363400	2014-07-17 20:48:08	49363400
32000830	61385147	2014-11-01 21:53:18	61385147
32000830	61398817	2014-11-02 09:04:56	61398817
31931644	40988446	2014-04-21 23:26:33	40988446
31854706	40881958	2014-04-19 22:06:19	40881958
31854706	40883753	2014-04-19 23:45:39	40883753
31854706	40884339	2014-04-20 00:16:54	40884339
31854706	40935985	2014-04-21 13:43:18	40935985
31741656	40744520	2014-04-17 18:10:39	40744520
31741656	40750750	2014-04-17 19:06:32	40750750
31741178	40733543	2014-04-17 16:26:34	40733543
31670791	40659792	2014-04-16 22:20:14	40659792
31670791	40824806	2014-04-18 17:03:04	40824806
31670791	40825398	2014-04-18 17:10:21	40825398
31670791	40825908	2014-04-18 17:15:42	40825908
31670791	40826179	2014-04-18 17:18:57	40826179
31670791	40827522	2014-04-18 17:35:10	40827522
31670791	40827597	2014-04-18 17:36:13	40827597
31670791	40828001	2014-04-18 17:41:21	40828001
31670791	40840984	2014-04-18 20:20:36	40840984
31421894	40318652	2014-04-13 20:26:07	40318652
31421894	40318775	2014-04-13 20:30:12	40318775
31364203	40255913	2014-04-11 21:38:31	40255913
31364203	40268066	2014-04-12 01:19:22	40268066
31364203	40270606	2014-04-12 03:30:12	40270606
31364203	40270750	2014-04-12 03:39:15	40270750
31104455	39930492	2014-04-09 05:43:31	39930492
31104455	40017869	2014-04-09 21:19:52	40017869
31104455	40293013	2014-04-12 22:04:44	40293013
31104455	40648413	2014-04-16 20:32:07	40648413
31104455	40660097	2014-04-16 22:24:23	40660097
31103265	40293768	2014-04-12 22:45:32	40293768
31103265	40309397	2014-04-13 14:55:23	40309397
31012303	39771097	2014-04-07 19:13:18	39771097
31012303	40008014	2014-04-09 19:45:45	40008014
31012303	40022290	2014-04-09 22:04:41	40022290
30943772	39689099	2014-04-07 01:02:42	39689099
30943772	39721626	2014-04-07 11:59:58	39721626
30943772	39721917	2014-04-07 12:03:59	39721917
30943772	39762090	2014-04-07 17:57:56	39762090
30943772	39930661	2014-04-09 05:48:04	39930661
30943772	40018455	2014-04-09 21:25:18	40018455
30943772	40108076	2014-04-10 16:37:21	40108076
30943772	40119742	2014-04-10 18:18:11	40119742
30943772	40123144	2014-04-10 18:46:50	40123144
30943772	40123967	2014-04-10 18:53:26	40123967
30943772	40189973	2014-04-11 10:23:46	40189973
30943772	40191276	2014-04-11 10:43:21	40191276
30943772	40228528	2014-04-11 17:28:46	40228528
30943772	40229328	2014-04-11 17:36:35	40229328
30943772	40246118	2014-04-11 19:47:11	40246118
30943772	40247269	2014-04-11 19:59:34	40247269
30885841	40272796	2014-04-12 06:02:36	40272796
30885841	40272953	2014-04-12 06:14:25	40272953
30885841	40273282	2014-04-12 06:40:10	40273282
30885841	54463440	2014-09-04 12:13:22	54463440
30885272	39600596	2014-04-04 19:11:25	39600596
30095184	38532161	2014-03-25 05:30:10	38532161
30095184	38534117	2014-03-25 06:19:39	38534117
30095184	38600066	2014-03-25 18:09:19	38600066
30095184	38600725	2014-03-25 18:14:36	38600725
30095184	38669082	2014-03-26 10:38:36	38669082
30095184	38797589	2014-03-27 12:42:26	38797589
30095184	38885628	2014-03-28 03:22:26	38885628
30095184	38907715	2014-03-28 10:56:36	38907715
30095184	38920735	2014-03-28 13:53:46	38920735
30095184	38930622	2014-03-28 15:19:02	38930622
30095184	38930937	2014-03-28 15:21:30	38930937
30095184	38932598	2014-03-28 15:35:38	38932598
30095184	38976455	2014-03-28 22:54:32	38976455
30095184	38976780	2014-03-28 22:59:59	38976780
30095184	38976984	2014-03-28 23:03:22	38976984
30095184	38984606	2014-03-29 02:36:46	38984606
30095184	38986892	2014-03-29 04:46:58	38986892
30095184	38987024	2014-03-29 04:55:14	38987024
30095184	39001693	2014-03-29 17:03:45	39001693
30095184	39012355	2014-03-29 23:18:31	39012355
30095184	39014265	2014-03-30 00:56:11	39014265
30095184	47385763	2014-06-27 18:42:32	47385763
30095184	47616161	2014-07-01 04:36:54	47616161
29775283	39752278	2014-04-07 16:29:41	39752278
29775283	39760830	2014-04-07 17:47:31	39760830
29775283	68703791	2015-01-05 12:51:43	68703791
